embedding_model,chunk_strategy,retrieval_mode,reranker_enabled,recall_mean,recall_std,ndcg_mean,ndcg_std,mrr_mean,mrr_std,keyword_f1_mean,keyword_f1_std,factual_mean,factual_std,time_mean,time_std,tokens_in_mean,tokens_out_mean,bm25_in_topk_mean,dense_in_topk_mean,delta_keyword_f1,delta_factual,delta_recall,delta_time,t_keyword_f1,p_keyword_f1,t_factual,p_factual
intfloat/e5-base-v2,fixed_500,bm25,1,0.7640020000000001,0.3630746148597497,0.717837,0.36712802590520177,0.7516660000000001,0.3793902042951973,0.656286,0.3189750837360882,0.88,0.32659863237109044,4.135260000000001,0.27907783498479055,515.98,31.25,10.0,0.0,0.014286000000000021,0.0,0.0,0.023013000000000616,1.0671107883317128,0.28851715678139433,0.0,1.0
intfloat/e5-base-v2,fixed_500,dense,1,0.7673329999999998,0.3698230543466194,0.718902,0.3714722905173712,0.7433320000000001,0.3769241455398009,0.6591680000000001,0.3285019406735105,0.9,0.30151134457776363,4.113818,0.22376540086041505,506.26,31.82,0.0,10.0,0.017168000000000072,0.020000000000000018,0.003330999999999751,0.0015710000000002111,0.8733160586704132,0.3846042275007051,0.6305476678616639,0.5297892035498407
intfloat/e5-base-v2,fixed_500,hybrid,0,0.7616690000000002,0.3633426019654595,0.636974,0.3689128510101051,0.626248,0.3969708865186896,0.629282,0.3392967523236462,0.95,0.2190429135575904,4.100098,0.16426738364414567,474.88,31.89,10.0,9.57,-0.012718000000000007,0.06999999999999995,-0.0023329999999999185,-0.012148999999999965,-0.5343710158673177,0.5942828873407804,1.9691871017571239,0.05172682860815581
intfloat/e5-base-v2,fixed_500,hybrid,1,0.7640020000000001,0.3630746148597497,0.717837,0.36712802590520177,0.7516660000000001,0.3793902042951973,0.642,0.2944747863535685,0.88,0.32659863237109044,4.112247,0.18824098001382603,508.81,31.77,9.52,6.68,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
intfloat/e5-base-v2,semantic_overlap20,bm25,1,0.7640020000000001,0.3630746148597497,0.717837,0.36712802590520177,0.7516660000000001,0.3793902042951973,0.6663730000000001,0.31030700628977953,0.89,0.3144660377352201,4.151330000000001,0.30838858096350924,541.46,31.82,10.0,0.0,-0.005615999999999954,-0.030000000000000027,0.0,0.06353200000000125,-0.5376925288305241,0.5919959866505778,-1.135533178986361,0.25889358186849243
intfloat/e5-base-v2,semantic_overlap20,dense,1,0.7306669999999998,0.39962771919688583,0.6864439999999999,0.3932823642682754,0.7133320000000001,0.4074446276762307,0.626929,0.3497935051158213,0.85,0.3588702812826367,4.083411,0.13238365114280154,475.52,32.26,0.0,10.0,-0.0450600000000001,-0.07000000000000006,-0.033335000000000226,-0.004386999999999475,-1.7891365102163521,0.0766509237889944,-1.9691871017571239,0.05172682860815581
intfloat/e5-base-v2,semantic_overlap20,hybrid,0,0.7516700000000001,0.36120478997797123,0.631697,0.36552183962580725,0.628582,0.39620609226956005,0.632802,0.3417647362520811,0.95,0.2190429135575904,4.103206,0.16330927702869902,474.14,31.83,10.0,9.23,-0.03918700000000008,0.029999999999999916,-0.01233200000000001,0.015408000000000754,-2.0002586907033963,0.048211287141414004,1.0000000000000002,0.31974847413930174
intfloat/e5-base-v2,semantic_overlap20,hybrid,1,0.7640020000000001,0.3630746148597497,0.717837,0.36712802590520177,0.7516660000000001,0.3793902042951973,0.6719890000000001,0.3058628357977187,0.92,0.2726599243442907,4.087797999999999,0.24666239880828733,532.88,32.02,9.52,6.52,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
sentence-transformers/all-MiniLM-L6-v2,fixed_500,bm25,1,0.774001,0.36486026867220767,0.722277,0.37186487033449245,0.741666,0.3793014283914549,0.6010469999999999,0.342680625365675,0.81,0.3942772444036625,4.14291,0.28163655047890457,548.06,31.68,10.0,0.0,0.0016199999999998438,-0.039999999999999925,0.0,0.01804399999999884,0.28584767387217397,0.7755920429870329,-2.03100960115899,0.0449347252126304
sentence-transformers/all-MiniLM-L6-v2,fixed_500,dense,1,0.7173339999999999,0.3930814969911045,0.682184,0.39182039322819195,0.72,0.4055797695829384,0.626597,0.3383961540289962,0.82,0.3861229196653691,4.103256,0.20271615589939118,580.4,32.73,0.0,10.0,0.027169999999999916,-0.030000000000000027,-0.056667000000000134,-0.021610000000000795,1.0105717981722844,0.31468497838533177,-0.7730365535202529,0.4413425478209957
